country,faculty_count,international_students,population_2022
Argentina,44627,39817,45195774
Armenia,1095,403,2963243
Australia,52985,223532,25499884
Austria,9507,26557,9006398
Azerbaijan,3557,726,10139177
Bahrain,179,344,1701575
Bangladesh,1933,551,164689383
Belarus,4878,4683,9449323
Belgium,15205,32114,11589623
Bolivia,3238,555,11673021
Bosnia and Herzegovina,1306,1003,3280819
Brazil,32149,9341,212559417
Brunei,614,635,437479
Bulgaria,3,2,6948445
Canada,50754,127360,37742154
Chile,17007,8121,19116201
China,68112,72344,1439323776
Colombia,12326,3080,50882891
Costa Rica,1907,552,5094118
Croatia,3184,1160,4105267
Cuba,823,1166,11326616
Cyprus,318,874,1207359
Czech Republic,11957,13966,10708981
Denmark,11957,12054,5792202
Ecuador,7158,618,17643054
Egypt,65180,40493,102334404
Estonia,2618,2225,1326535
Finland,7448,7593,5540720
France,48750,104979,65273511
Georgia,3,662,3989167
Germany,59434,105077,83783942
Ghana,1497,606,31072940
Greece,2228,3155,10423054
Honduras,3888,0,9904607
Hong Kong,11401,34198,7496981
Hungary,1884,935,9660351
India,31719,10214,1380004385
Indonesia,29590,9065,273523615
Iran,3110,1754,83992949
Iraq,12065,1668,40222493
Ireland,8313,17929,4937786
Israel,4271,4875,8655535
Italy,32757,39892,60461826
Japan,53106,49612,126476461
Jordan,4540,8401,10203134
Kazakhstan,6510,6721,18776707
Kenya,2492,0,53771296
Kuwait,2265,6228,4270571
Latvia,2039,875,1886198
Lebanon,4878,4741,6825445
Lithuania,2229,1652,2722289
Macao,1136,13,649335
Malaysia,18936,27634,32365999
Malta,900,816,441543
Mexico,44251,16278,128932753
Morocco,1806,2441,36910560
Netherlands,31711,67062,17134872
New Zealand,9342,25738,4822233
Norway,4239,3396,5421241
Oman,916,248,5106626
Pakistan,9505,2833,220892340
Palestine,2347,3211,5101414
Panama,2680,2524,4314767
Paraguay,4304,531,7132538
Peru,5098,2146,32971854
Philippines,2783,2743,109581078
Poland,16152,15013,37846611
Portugal,2814,3803,10196709
Puerto Rico,2688,448,2860853
Qatar,1163,3197,2881053
Romania,11038,9243,19237691
Russia,46126,54854,145934462
Saudi Arabia,17332,21418,34813871
Serbia,9785,5935,8737371
Singapore,8690,13644,5850342
Slovakia,2805,769,5459642
Slovenia,5,862,2078938
South Africa,5393,5792,59308690
South Korea,37004,34796,51269185
Spain,25738,38429,46754778
Sri Lanka,2294,236,21413249
Sudan,2309,866,43849260
Sweden,16991,33865,10099265
Switzerland,15689,35295,8654622
Syria,2597,2184,17500658
Taiwan,22865,27217,23816775
Thailand,8721,4976,69799978
Tunisia,4681,1073,11818619
Turkey,23484,22001,84339067
Uganda,1468,2694,45741007
Ukraine,7146,2436,43733762
United Arab Emirates,3952,2821,9890402
United Kingdom,160921,340287,67886011
United States of America,257757,356421,331002651
Uruguay,1523,208,3473730
Venezuela,1504,716,28435940
Vietnam,10102,1592,97338579
Grand Total,3263370,4491626,6040460018
